VENERA-16 KS-18-6V Ep1-5-10-65>30,a ID=VG D=UT S=14400
UT            p>30+      p>60+     p1-65+     p1-11+      p5-8+     a7-24+     p1-70-      p1-9-     p5-10-     a7-22-    xHGI,km    yHGI,km    zHGI,km
83062511  1.687E+01  1.687E+01  1.219E+01  8.166E+00  7.295E-01  7.112E-02 -9.999E+99  8.279E+00  1.102E+00  7.112E-02  1.420E+08  4.032E+07 -2.516E+06
83062515  1.690E+01  1.683E+01  1.208E+01  7.870E+00  7.079E-01  9.120E-02 -9.999E+99  7.925E+00  1.062E+00  6.109E-02  1.418E+08  4.069E+07 -2.536E+06
83062519  1.687E+01  1.683E+01  1.104E+01  7.031E+00  6.281E-01  6.109E-02 -9.999E+99  7.674E+00  1.009E+00  7.112E-02  1.417E+08  4.105E+07 -2.556E+06
83062523  1.694E+01  1.694E+01  1.086E+01  6.982E+00  6.180E-01  7.112E-02 -9.999E+99  7.674E+00  9.419E-01  7.112E-02  1.415E+08  4.141E+07 -2.576E+06
83062603  1.690E+01  1.694E+01  1.172E+01  7.709E+00  6.067E-01  5.012E-02 -9.999E+99  8.395E+00  9.204E-01  7.112E-02  1.414E+08  4.178E+07 -2.596E+06
83062607  1.687E+01 -9.999E+99  1.626E+01  1.140E+01  7.379E-01  1.012E-01 -9.999E+99  1.387E+01  1.161E+00  1.012E-01  1.412E+08  4.214E+07 -2.616E+06
83062611  1.683E+01  1.679E+01  1.734E+01  1.247E+01  7.798E-01  1.312E-01 -9.999E+99  1.542E+01  1.233E+00  1.112E-01  1.411E+08  4.251E+07 -2.636E+06
83062619  1.679E+01  1.675E+01  2.123E+01  1.567E+01  8.913E-01  1.213E-01 -9.999E+99  1.528E+01  1.191E+00  1.112E-01  1.408E+08  4.324E+07 -2.676E+06
83062623  1.675E+01  1.675E+01  2.004E+01  3.148E+01  7.907E-01  1.213E-01 -9.999E+99  1.337E+01  1.021E+00  1.112E-01  1.406E+08  4.360E+07 -2.696E+06
83062703  1.675E+01  1.675E+01  1.714E+01  1.236E+01  6.887E-01  8.110E-02 -9.999E+99  1.127E+01  8.913E-01 -9.999E+99  1.404E+08  4.397E+07 -2.716E+06
83062707  1.675E+01  1.675E+01  1.500E+01  1.067E+01 -9.999E+99  7.112E-02 -9.999E+99  1.059E+01  8.492E-01  9.120E-02  1.403E+08  4.433E+07 -2.736E+06
83062711  1.679E+01  1.667E+01  1.507E+01  1.054E+01  6.067E-01  9.120E-02 -9.999E+99  8.974E+00  8.299E-01  9.120E-02  1.401E+08  4.470E+07 -2.756E+06
83062715  1.667E+01  1.671E+01  1.445E+01  1.021E+01  5.768E-01  8.110E-02 -9.999E+99  8.810E+00  7.603E-01  6.109E-02  1.399E+08  4.507E+07 -2.776E+06
83062719  1.679E+01  1.671E+01  1.297E+01 -9.999E+99  5.260E-01  8.110E-02 -9.999E+99  7.603E+00  6.792E-01  6.109E-02  1.398E+08  4.543E+07 -2.796E+06
83062723  1.667E+01  1.671E+01  1.107E+01  7.396E+00  4.550E-01  6.109E-02 -9.999E+99  6.223E+00  5.572E-01  5.012E-02  1.396E+08  4.580E+07 -2.816E+06
83062803  1.675E+01  1.671E+01  9.977E+00  6.383E+00  3.750E-01  5.012E-02 -9.999E+99  5.821E+00  5.675E-01  5.012E-02  1.395E+08  4.616E+07 -2.837E+06
83062807  1.679E+01  1.679E+01  9.705E+00  6.339E+00  4.150E-01  5.012E-02 -9.999E+99  5.420E+00  5.164E-01  4.009E-02  1.393E+08  4.653E+07 -2.857E+06
83062811  1.671E+01  1.675E+01  9.333E+00  5.943E+00  3.750E-01  5.012E-02 -9.999E+99  5.370E+00  5.260E-01  4.009E-02  1.391E+08  4.689E+07 -2.877E+06
83062815  1.679E+01  1.675E+01  8.892E+00  5.662E+00  3.436E-01  5.012E-02 -9.999E+99  5.212E+00  5.058E-01  4.009E-02  1.390E+08  4.726E+07 -2.897E+06
83062819  1.679E+01  1.675E+01  7.998E+00  5.058E+00  3.236E-01  5.012E-02 -9.999E+99  5.176E+00  4.966E-01  4.009E-02  1.388E+08  4.762E+07 -2.917E+06
83062823  1.671E+01  1.671E+01  8.166E+00  4.955E+00  3.236E-01  5.012E-02 -9.999E+99  4.764E+00  4.550E-01  3.006E-02  1.386E+08  4.799E+07 -2.937E+06
83062903  1.671E+01 -9.999E+99  7.962E+00  4.571E+00  3.141E-01  5.012E-02 -9.999E+99  4.699E+00  4.656E-01  5.012E-02  1.384E+08  4.835E+07 -2.957E+06
83062907  1.671E+01  1.675E+01  7.870E+00  4.656E+00  3.034E-01  4.009E-02 -9.999E+99  4.457E+00  4.446E-01  4.009E-02  1.383E+08  4.872E+07 -2.977E+06
83062911  1.679E+01  1.683E+01  7.674E+00  4.550E+00  2.938E-01  4.009E-02 -9.999E+99  4.508E+00  4.046E-01  3.006E-02  1.381E+08  4.908E+07 -2.997E+06
83062915  1.683E+01  1.671E+01  7.228E+00  4.246E+00  2.938E-01  4.009E-02 -9.999E+99  3.945E+00  4.150E-01  4.009E-02  1.379E+08  4.945E+07 -3.017E+06
83062919  1.675E+01  1.675E+01  6.792E+00  3.750E+00  2.523E-01  4.009E-02 -9.999E+99  3.664E+00  3.945E-01  3.006E-02  1.377E+08  4.981E+07 -3.037E+06
83062923  1.683E+01  1.675E+01  6.546E+00  3.656E+00  2.636E-01  3.006E-02 -9.999E+99  3.381E+00  3.648E-01  3.006E-02  1.376E+08  5.018E+07 -3.057E+06
83063003  1.679E+01  1.679E+01  6.138E+00  3.273E+00  2.427E-01  4.009E-02 -9.999E+99  3.184E+00  3.334E-01  3.006E-02  1.374E+08  5.054E+07 -3.077E+06
83063007  1.687E+01  1.690E+01  5.702E+00  2.911E+00  2.427E-01  2.004E-02 -9.999E+99  2.999E+00  3.648E-01  3.006E-02  1.372E+08  5.091E+07 -3.097E+06
83063011  1.687E+01  1.683E+01  5.610E+00  2.748E+00  2.223E-01  2.004E-02 -9.999E+99  2.786E+00  3.236E-01  3.006E-02  1.370E+08  5.127E+07 -3.117E+06
83063015  1.687E+01  1.679E+01  5.420E+00  2.624E+00  1.923E-01  3.006E-02 -9.999E+99  2.427E+00  3.236E-01  3.006E-02  1.368E+08  5.164E+07 -3.137E+06
83063019  1.683E+01  1.679E+01  5.000E+00  2.366E+00  1.824E-01  3.006E-02 -9.999E+99  2.193E+00  2.938E-01  4.009E-02  1.366E+08  5.200E+07 -3.157E+06
83063023  1.683E+01  1.687E+01  4.875E+00  2.223E+00  1.726E-01  3.006E-02 -9.999E+99  2.000E+00  2.838E-01  1.002E-02  1.364E+08  5.236E+07 -3.177E+06
83070103  1.683E+01  1.690E+01  4.710E+00  1.968E+00  1.726E-01  3.006E-02 -9.999E+99  1.950E+00  2.735E-01  3.006E-02  1.363E+08  5.273E+07 -3.197E+06
83070107  1.683E+01  1.687E+01  4.656E+00  1.991E+00  1.824E-01  3.006E-02 -9.999E+99  1.758E+00  3.034E-01  2.004E-02  1.361E+08  5.309E+07 -3.217E+06
83070111  1.683E+01  1.687E+01  4.345E+00  1.799E+00  1.626E-01  2.004E-02 -9.999E+99  1.667E+00  2.838E-01  2.004E-02  1.359E+08  5.345E+07 -3.237E+06
